time ,vals ,flag ,type
727533,0.5,0,1
727534,0.8,0,1
727552,11.5,0,2
727556,0.5,0,1
727564,2,0,1
727565,0.2,0,1
727566,0.5,0,1
727579,1,0,1
727580,0.3,0,1
727583,1.6,0,1
727596,0.2,0,1
727597,0.4,0,1
727601,0.4,0,1
727602,0.2,0,1
727604,0.2,0,1
727614,0.5,0,1
727616,0.7,0,1
727619,0.7,0,1
727620,2.6,0,1
727645,0.7,0,1
727892,2.4,0,1
727900,0.3,0,1
727901,1.5,0,1
727940,1.9,0,2
727960,1.2,0,1
727962,0.6,0,1
727963,4.4,0,1
727968,0.3,0,1
727999,0.3,0,1
728005,1.3,0,2
728019,2.4,0,2
728052,0.2,0,1
728244,1.5,0,1
728282,0.3,0,2
728284,15.7,0,2
728285,21,0,2
728295,2.7,0,1
728298,1.5,0,1
728309,0.4,0,1
728317,11,0,1
728318,0.6,0,1
728321,0.2,0,1
728322,0.4,0,2
728340,0.9,0,1
728348,11.3,0,1
728352,2.3,0,1
728363,2.8,0,1
728364,0.5,0,1
728365,1.5,0,1
728564,0.2,0,1
728600,0.2,0,2
728601,9.2,0,2
728603,6.5,0,2
728604,1,0,1
728605,0.8,0,1
728612,1.4,0,1
728613,0.5,0,1
728614,2,0,1
728621,0.6,0,1
728622,2.9,0,1
728627,0.4,0,2
728631,3,0,1
728632,0.5,0,1
728658,1.9,0,1
728694,1.4,0,1
728695,1.7,0,1
728696,1.7,0,1
728698,0.1,0,1
728704,9.6,0,2
728705,1.9,0,1
728751,1.5,0,1
728964,12.2,0,2
729004,0.3,0,1
729027,3,0,1
729029,0.3,0,1
729035,0.4,0,2
729040,1.5,0,2
729041,13,0,1
729046,0.8,0,1
729059,1.5,0,1
729063,2.8,0,1
729066,1.3,0,1
729108,2.4,0,1
729109,2.5,0,1
729126,0.1,0,1
729346,1.6,0,2
729387,1,0,1
729405,1.3,0,1
729406,0.6,0,1
729412,5.8,0,1
729413,9.5,0,2
729442,0.1,0,1
729444,0.6,0,1
729445,2.1,0,1
729455,0.4,0,1
729465,1.2,0,1
729466,0.8,0,1
729467,0.5,0,1
729473,2.8,0,1
729681,1.5,0,2
729743,2.1,0,1
729760,1,0,2
729765,0.5,0,2
729766,3.5,0,1
729774,0.3,0,2
729783,3.2,0,1
729794,0.3,0,1
729796,0.5,0,1
729797,0.3,0,2
729800,8.9,0,1
729814,0.2,0,1
729815,1,0,1
729821,1.7,0,1
729822,9.7,0,1
729830,1.3,0,1
729831,0.5,0,1
729861,0.1,0,2
729885,1.4,0,2
730069,1,0,1
730134,0.8,0,2
730137,1,0,1
730144,0.6,0,2
730158,13,0,1
730170,5.2,0,1
730178,1,0,2
730494,1.5,0,1
730512,0.4,0,1
730513,3.6,0,1
730529,1,0,1
730566,0.5,0,2
730569,0.3,0,1
730773,10,0,2
730784,1.7,0,1
730828,3.5,0,2
730829,9.2,0,2
730833,1,0,1
730839,0.4,0,1
730840,0.5,0,1
730870,2.2,0,1
730874,0.3,0,1
730876,1.6,0,1
730889,1,0,2
730919,2,0,1
730945,2.5,0,2
730948,0.7,7,1
730971,1.5,0,2
730973,5.8,0,1
731185,2,0,1
731186,0.2,0,1
731190,10.2,0,1
731218,1.3,0,1
731238,1.8,0,1
731244,2.1,0,1
731257,2.8,0,2
731258,0.3,0,1
731259,1.5,0,1
731308,0.9,0,1
731519,3,0,2
731549,6,0,2
731561,3.4,0,2
731567,1.5,0,2
731571,0.4,0,1
731601,0.6,0,2
731602,0.6,0,2
731623,0.1,0,1
731651,1.3,0,2
731664,3.1,0,1
731686,2.3,0,1
731916,0.4,0,2
731917,2,0,2
731919,8.7,0,1
731921,0.4,0,2
731929,5.9,0,2
731958,10,0,1
731959,9.5,0,1
731960,0.2,7,1
731968,2.5,0,1
731978,0.9,0,1
731981,0.5,0,1
731982,1.2,0,1
731991,0.5,0,1
731992,0.2,0,1
731998,0.6,0,1
732012,5.4,0,1
732020,0.3,0,2
732248,0.5,0,2
732249,74,0,2
732269,0.7,0,1
732273,0.8,0,1
732278,0.1,0,1
732288,1.2,0,2
732289,0.1,0,2
732296,1.4,0,2
732305,7.6,0,1
732306,0.1,0,1
732314,0.2,0,1
732317,3.7,0,1
732329,0.5,0,2
732334,0.4,0,1
732335,0.4,0,1
732336,0.1,0,1
732350,0.6,0,1
732363,0.4,0,1
732374,0.6,0,1
732377,0.1,7,0
732379,5.7,0,1
732380,11.1,0,1
732381,2.2,0,1
732631,0.8,0,2
732669,0.1,7,1
732681,0.2,7,2
732690,0.1,7,1
732694,0.2,0,2
732710,6,0,2
732721,0.5,0,1
732722,1.5,0,1
732723,0.2,0,1
732724,0.2,0,1
732725,0.2,7,2
732734,1,0,1
732768,8.1,0,1
732771,0.1,7,1
732772,0.1,7,1
732783,4.1,0,1
732993,1.7,0,2
733033,1.5,0,1
733034,2.7,0,1
733038,1.2,0,1
733042,2.2,0,1
733047,0.5,0,1
733049,0.3,0,1
733062,0.2,7,1
733063,0.6,0,1
733071,0.5,0,1
733075,0.2,7,1
733076,2.3,0,1
733082,8.2,0,2
733088,0.1,7,1
733090,0.5,7,2
733116,4.5,0,1
733118,0.6,7,1
733121,0.3,0,2
733132,0.1,7,2
733133,0.3,7,1
733145,1.9,0,2
733165,0.1,0,2
733174,5.9,0,1
733177,0.1,0,2
733332,0.2,7,2
733415,1,0,2
733416,4.2,0,2
733417,0.3,0,2
733428,1.3,0,2
733429,0.7,0,2
733430,1.3,0,1
733437,2.1,0,1
733452,0.4,7,1
733462,0.4,0,2
733463,6.5,0,1
733464,1,0,1
733705,25,0,2
733708,0.6,0,1
733814,1.4,0,1
733830,0.4,7,1
733831,0.3,0,1
733832,0.6,0,1
733833,1.1,0,1
733856,0.1,7,1
733861,0.3,0,1
734076,0.6,0,1
734101,0.3,7,2
734102,0.4,7,2
734114,0.4,0,1
734115,0.5,0,2
734129,0.1,7,1
734137,6.6,0,1
734155,13.7,0,2
734156,1.5,0,1
734158,0.5,7,1
734162,0.2,0,1
734163,0.1,0,1
734173,0.8,7,1
734174,1.2,0,1
734194,2.2,0,2
734224,1,0,1
734259,0.8,0,1
734501,0.1,0,2
734502,2,0,2
734510,0.5,7,2
734518,0.1,7,1
734531,0.6,7,1
734532,0.2,7,1
734534,0.6,7,1
734535,11.9,7,1
734536,0.2,7,1
734538,0.1,7,1
734539,0.1,7,1
734541,0.6,7,2
734544,3.3,7,1
734545,2.6,7,1
734550,2.3,0,1
734554,0.2,7,1
734596,0.3,0,1
734597,2.1,0,1
734598,0.8,0,1
734622,0.1,7,1
734628,0.2,7,2
734821,0.8,0,1
734826,3.3,0,1
734862,0.4,0,1
734867,2.3,0,1
734881,1,0,1
734890,2.1,0,1
734892,0.8,0,1
734898,5.7,0,2
734923,1.5,0,1
734930,0.1,7,1
734960,0.1,0,2
735164,1.5,0,1
735196,3.1,0,2
735197,0.3,0,2
735228,1,7,2
735239,0.6,0,1
735242,6.9,0,1
735243,1.3,0,1
735244,0.1,0,1
735260,0.3,0,1
735264,0.4,0,1
735265,2.9,0,1
735266,8,0,1
735598,3.5,0,1
735599,0.1,0,1
735608,1.7,0,2
735609,1.6,0,2
735660,0.2,0,1
735667,8.3,0,1
735669,1.7,0,1
735670,2.1,0,1
735671,1.5,0,1
735672,1.2,7,1
735881,0.2,0,2
735882,0.5,0,2
735903,0.7,0,1
735906,1.7,0,2
735919,0.1,7,1
735924,0.1,7,1
735926,0.5,0,2
735927,1.9,0,1
735941,1,0,2
735942,1.3,0,1
735945,3.7,0,1
735971,0.1,7,1
735973,4.3,0,1
735978,6.1,0,1
735981,1.2,0,2
736006,0.1,0,1
736010,8,0,1
736013,1.2,0,1
